"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
Canada,3472237,11552,37565,59,3284362.0,3700.0,150310.0,384,90617.0,980.0,59376958,1549591,38317822,North America
Chile,3464425,5926,56467,3,3005898.0,19473.0,402060.0,627,178563.0,2910.0,35418380,1825533,19401660,South America
Greece,3009333,22451,27454,62,2729095.0,23570.0,252784.0,348,291193.0,2657.0,73787436,7139925,10334484,Europe
Denmark,2908215,4163,5668,83,2829905.0,9086.0,72642.0,22,499034.0,973.0,126783801,21755420,5827688,Europe
Romania,2850598,3583,65001,15,2606660.0,0.0,178937.0,395,149918.0,3419.0,22062139,1160283,19014444,Europe
Sweden,2487852,1069,18331,1,2428639.0,1089.0,40882.0,32,243696.0,1796.0,18382831,1800681,10208820,Europe
Iraq,2319209,344,25163,3,2281689.0,537.0,12357.0,45,55494.0,602.0,18326076,438510,41791736,Asia
Serbia,1974652,1892,15788,9,1923371.0,6303.0,35493.0,38,227596.0,1820.0,9174040,1057387,8676145,Europe
Bangladesh,1951504,72,29122,2,1880420.0,876.0,41962.0,1248,11648.0,174.0,13814637,82454,167543584,Asia
Hungary,1849217,2906,45430,40,1703932.0,3204.0,99855.0,55,192273.0,4724.0,11103060,1154443,9617676,Europe
Slovakia,1703550,6790,19334,23,1578357.0,11509.0,105859.0,176,311763.0,3538.0,6860089,1255451,5464243,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162757.0,1349.0,16575546,1596976,10379336,Asia
Georgia,1647814,571,16739,9,1623453.0,1021.0,7622.0,0,414456.0,4210.0,16367795,4116809,3975845,Asia
Pakistan,1524549,194,30349,2,1485609.0,136.0,8591.0,432,6676.0,133.0,27442945,120179,228350567,Asia
Ireland,1454182,5370,6740,10,1293692.0,2268.0,153750.0,49,288888.0,1339.0,11803237,2344829,5033731,Europe
Norway,1404207,1988,2518,0,,,,20,255543.0,458.0,11002430,2002267,5494986,Europe
Kazakhstan,1305114,32,13659,0,1289315.0,564.0,2140.0,528,68090.0,713.0,11575012,603891,19167379,Asia
